City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
330,Havelock,US,34.8791,-76.9013,67.05,47,0,10.36,clear sky
331,Tazovskiy,RU,67.4667,78.7,0.27,82,0,16.26,clear sky
332,Hasaki,JP,35.7333,140.8333,34.2,80,100,29.44,light snow
333,Sakaraha,MG,-22.9,44.5333,76.53,73,12,8.14,few clouds
334,Namibe,AO,-15.1961,12.1522,73.9,81,100,4.81,overcast clouds
335,Tacuarembo,UY,-31.7333,-55.9833,92.19,18,0,7.11,clear sky
336,Komsomolskiy,UZ,40.4272,71.7189,36.82,74,100,4.61,overcast clouds
337,Sabya,SA,17.1495,42.6254,78.42,70,0,1.54,clear sky
338,Kruisfontein,ZA,-34.0033,24.7314,63.27,82,59,3.06,broken clouds
339,Mana,GF,5.6592,-53.7767,80.26,75,65,11.01,broken clouds
340,Bay Roberts,CA,47.5999,-53.2648,40.51,74,37,3.0,scattered clouds
341,Iqaluit,CA,63.7506,-68.5145,-7.87,84,100,5.75,light snow
342,Wilmington,US,34.2257,-77.9447,64.31,31,0,12.66,clear sky
343,Chuy,UY,-33.6971,-53.4616,76.46,54,9,15.12,clear sky
344,Harper,LR,4.375,-7.7169,79.43,87,7,7.0,clear sky
345,Leningradskiy,RU,69.3833,178.4167,-19.12,97,100,4.79,overcast clouds
346,Rome,US,34.257,-85.1647,67.37,30,2,4.0,clear sky
347,Iberia,US,29.9502,-91.7507,70.05,26,0,0.0,clear sky
